ID,Level,TargetExp,IconID,InventorySlot,AddCoin,AtkPower,DefPower,Health,CraftLevel,ChargeSpeed
710000,0,100,930001,4,200,50,2,100,1,5
710001,1,500,930001,5,600,55,4,150,2,4.9
710002,2,900,930001,6,1000,60,6,200,3,4.8
710003,3,1300,930001,7,1400,65,8,250,4,4.7
710004,4,1700,930001,8,1800,70,10,300,5,4.6
710005,5,2100,930001,9,2200,75,12,350,6,4.5
710006,6,2500,930001,10,2600,80,14,400,7,4.4
710007,7,2900,930001,11,3000,85,16,450,8,4.3
710008,8,3300,930001,12,3400,90,18,500,9,4.2
710009,9,3700,930001,13,3800,95,20,550,10,4.1
710010,10,4100,930001,14,4200,100,22,600,11,4
710011,11,4500,930001,15,4600,105,24,650,12,3.9
710012,12,4900,930001,16,5000,110,26,700,13,3.8
710013,13,5300,930001,17,5400,115,28,750,14,3.7
710014,14,5700,930001,18,5800,120,30,800,15,3.6
710015,15,6100,930001,19,6200,125,32,850,16,3.5
710016,16,6500,930001,20,6600,130,34,900,17,3.4
710017,17,6900,930001,20,7000,135,36,950,18,3.3
710018,18,7300,930001,20,7400,140,38,1000,19,3.2
710019,19,7700,930001,20,7800,145,40,1050,20,3.1
710020,20,8100,930001,20,8200,150,42,1100,21,3
710021,21,8500,930001,20,8600,155,44,1150,22,2.9
710022,22,8900,930001,20,9000,160,46,1200,23,2.8
710023,23,9300,930001,20,9400,165,48,1250,24,2.7
710024,24,9700,930001,20,9800,170,50,1300,25,2.6
710025,25,10100,930001,20,10200,175,52,1350,26,2.5
710026,26,10500,930001,20,10600,180,54,1400,27,2.4
710027,27,10900,930001,20,11000,185,56,1450,28,2.3
710028,28,11300,930001,20,11400,190,58,1500,29,2.2
710029,29,11700,930001,20,11800,195,60,1550,30,2.1
710030,30,12100,930001,20,12200,200,62,1600,31,2
710031,31,12500,930001,20,12600,205,64,1650,32,1.9
710032,32,12900,930001,20,13000,210,66,1700,33,1.8
710033,33,13300,930001,20,13400,215,68,1750,34,1.7
710034,34,13700,930001,20,13800,220,70,1800,35,1.6
710035,35,14100,930001,20,14200,225,72,1850,36,1.5
710036,36,14500,930001,20,14600,230,74,1900,37,1.4
710037,37,14900,930001,20,15000,235,76,1950,38,1.3
710038,38,15300,930001,20,15400,240,78,2000,39,1.2
710039,39,15700,930001,20,15800,245,80,2050,40,1.1
710040,40,16100,930001,20,16200,250,82,2100,41,1
710041,41,16500,930001,20,16600,255,84,2150,42,0.9
710042,42,16900,930001,20,17000,260,86,2200,43,0.8
710043,43,17300,930001,20,17400,265,88,2250,44,0.7
710044,44,17700,930001,20,17800,270,90,2300,45,0.6
710045,45,18100,930001,20,18200,275,92,2350,46,0.5
710046,46,18500,930001,20,18600,280,94,2400,47,0.4
710047,47,18900,930001,20,19000,285,96,2450,48,0.3
710048,48,19300,930001,20,19400,290,98,2500,49,0.3
710049,49,19700,930001,20,19800,295,100,2550,50,0.3
710050,50,20100,930001,20,20200,300,102,2600,51,0.3
710051,51,20500,930001,20,20600,305,104,2650,52,0.3
710052,52,20900,930001,20,21000,310,106,2700,53,0.3
710053,53,21300,930001,20,21400,315,108,2750,54,0.3
710054,54,21700,930001,20,21800,320,110,2800,55,0.3
710055,55,22100,930001,20,22200,325,112,2850,56,0.3
710056,56,22500,930001,20,22600,330,114,2900,57,0.3
710057,57,22900,930001,20,23000,335,116,2950,58,0.3
710058,58,23300,930001,20,23400,340,118,3000,59,0.3
710059,59,23700,930001,20,23800,345,120,3050,60,0.3
710060,60,24100,930001,20,24200,350,122,3100,61,0.3
710061,61,24500,930001,20,24600,355,124,3150,62,0.3
710062,62,24900,930001,20,25000,360,126,3200,63,0.3
710063,63,25300,930001,20,25400,365,128,3250,64,0.3
710064,64,25700,930001,20,25800,370,130,3300,65,0.3
710065,65,26100,930001,20,26200,375,132,3350,66,0.3
710066,66,26500,930001,20,26600,380,134,3400,67,0.3
710067,67,26900,930001,20,27000,385,136,3450,68,0.3
710068,68,27300,930001,20,27400,390,138,3500,69,0.3
710069,69,27700,930001,20,27800,395,140,3550,70,0.3
710070,70,28100,930001,20,28200,400,142,3600,71,0.3
710071,71,28500,930001,20,28600,405,144,3650,72,0.3
710072,72,28900,930001,20,29000,410,146,3700,73,0.3
710073,73,29300,930001,20,29400,415,148,3750,74,0.3
710074,74,29700,930001,20,29800,420,150,3800,75,0.3
710075,75,30100,930001,20,30200,425,152,3850,76,0.3
710076,76,30500,930001,20,30600,430,154,3900,77,0.3
710077,77,30900,930001,20,31000,435,156,3950,78,0.3
710078,78,31300,930001,20,31400,440,158,4000,79,0.3
710079,79,31700,930001,20,31800,445,160,4050,80,0.3
710080,80,32100,930001,20,32200,450,162,4100,81,0.3
710081,81,32500,930001,20,32600,455,164,4150,82,0.3
710082,82,32900,930001,20,33000,460,166,4200,83,0.3
710083,83,33300,930001,20,33400,465,168,4250,84,0.3
710084,84,33700,930001,20,33800,470,170,4300,85,0.3
710085,85,34100,930001,20,34200,475,172,4350,86,0.3
710086,86,34500,930001,20,34600,480,174,4400,87,0.3
710087,87,34900,930001,20,35000,485,176,4450,88,0.3
710088,88,35300,930001,20,35400,490,178,4500,89,0.3
710089,89,35700,930001,20,35800,495,180,4550,90,0.3
710090,90,36100,930001,20,36200,500,182,4600,91,0.3
710091,91,36500,930001,20,36600,505,184,4650,92,0.3
710092,92,36900,930001,20,37000,510,186,4700,93,0.3
710093,93,37300,930001,20,37400,515,188,4750,94,0.3
710094,94,37700,930001,20,37800,520,190,4800,95,0.3
710095,95,38100,930001,20,38200,525,192,4850,96,0.3
710096,96,38500,930001,20,38600,530,194,4900,97,0.3
710097,97,38900,930001,20,39000,535,196,4950,98,0.3
710098,98,39300,930001,20,39400,540,198,5000,99,0.3
710099,99,39700,930001,20,39800,545,200,5050,100,0.3
710100,100,40100,930001,20,40200,550,202,5100,101,0.3
710101,101,40500,930001,20,40600,555,204,5150,102,0.3
710102,102,40900,930001,20,41000,560,206,5200,103,0.3
710103,103,41300,930001,20,41400,565,208,5250,104,0.3
710104,104,41700,930001,20,41800,570,210,5300,105,0.3
710105,105,42100,930001,20,42200,575,212,5350,106,0.3
710106,106,42500,930001,20,42600,580,214,5400,107,0.3
710107,107,42900,930001,20,43000,585,216,5450,108,0.3
710108,108,43300,930001,20,43400,590,218,5500,109,0.3
710109,109,43700,930001,20,43800,595,220,5550,110,0.3
710110,110,44100,930001,20,44200,600,222,5600,111,0.3
710111,111,44500,930001,20,44600,605,224,5650,112,0.3
710112,112,44900,930001,20,45000,610,226,5700,113,0.3
710113,113,45300,930001,20,45400,615,228,5750,114,0.3
710114,114,45700,930001,20,45800,620,230,5800,115,0.3
710115,115,46100,930001,20,46200,625,232,5850,116,0.3
710116,116,46500,930001,20,46600,630,234,5900,117,0.3
710117,117,46900,930001,20,47000,635,236,5950,118,0.3
710118,118,47300,930001,20,47400,640,238,6000,119,0.3
710119,119,47700,930001,20,47800,645,240,6050,120,0.3
710120,120,48100,930001,20,48200,650,242,6100,121,0.3
710121,121,48500,930001,20,48600,655,244,6150,122,0.3
710122,122,48900,930001,20,49000,660,246,6200,123,0.3
710123,123,49300,930001,20,49400,665,248,6250,124,0.3
710124,124,49700,930001,20,49800,670,250,6300,125,0.3
710125,125,50100,930001,20,50200,675,252,6350,126,0.3
710126,126,50500,930001,20,50600,680,254,6400,127,0.3
710127,127,50900,930001,20,51000,685,256,6450,128,0.3
710128,128,51300,930001,20,51400,690,258,6500,129,0.3
710129,129,51700,930001,20,51800,695,260,6550,130,0.3
710130,130,52100,930001,20,52200,700,262,6600,131,0.3
710131,131,52500,930001,20,52600,705,264,6650,132,0.3
710132,132,52900,930001,20,53000,710,266,6700,133,0.3
710133,133,53300,930001,20,53400,715,268,6750,134,0.3
710134,134,53700,930001,20,53800,720,270,6800,135,0.3
710135,135,54100,930001,20,54200,725,272,6850,136,0.3
710136,136,54500,930001,20,54600,730,274,6900,137,0.3
710137,137,54900,930001,20,55000,735,276,6950,138,0.3
710138,138,55300,930001,20,55400,740,278,7000,139,0.3
710139,139,55700,930001,20,55800,745,280,7050,140,0.3
710140,140,56100,930001,20,56200,750,282,7100,141,0.3
710141,141,56500,930001,20,56600,755,284,7150,142,0.3
710142,142,56900,930001,20,57000,760,286,7200,143,0.3
710143,143,57300,930001,20,57400,765,288,7250,144,0.3
710144,144,57700,930001,20,57800,770,290,7300,145,0.3
710145,145,58100,930001,20,58200,775,292,7350,146,0.3
710146,146,58500,930001,20,58600,780,294,7400,147,0.3
710147,147,58900,930001,20,59000,785,296,7450,148,0.3
710148,148,59300,930001,20,59400,790,298,7500,149,0.3
710149,149,59700,930001,20,59800,795,300,7550,150,0.3
710150,150,60100,930001,20,60200,800,302,7600,151,0.3
710151,151,60500,930001,20,60600,805,304,7650,152,0.3
710152,152,60900,930001,20,61000,810,306,7700,153,0.3
710153,153,61300,930001,20,61400,815,308,7750,154,0.3
710154,154,61700,930001,20,61800,820,310,7800,155,0.3
710155,155,62100,930001,20,62200,825,312,7850,156,0.3
710156,156,62500,930001,20,62600,830,314,7900,157,0.3
710157,157,62900,930001,20,63000,835,316,7950,158,0.3
710158,158,63300,930001,20,63400,840,318,8000,159,0.3
710159,159,63700,930001,20,63800,845,320,8050,160,0.3
710160,160,64100,930001,20,64200,850,322,8100,161,0.3
710161,161,64500,930001,20,64600,855,324,8150,162,0.3
710162,162,64900,930001,20,65000,860,326,8200,163,0.3
710163,163,65300,930001,20,65400,865,328,8250,164,0.3
710164,164,65700,930001,20,65800,870,330,8300,165,0.3
710165,165,66100,930001,20,66200,875,332,8350,166,0.3
710166,166,66500,930001,20,66600,880,334,8400,167,0.3
710167,167,66900,930001,20,67000,885,336,8450,168,0.3
710168,168,67300,930001,20,67400,890,338,8500,169,0.3
710169,169,67700,930001,20,67800,895,340,8550,170,0.3
710170,170,68100,930001,20,68200,900,342,8600,171,0.3
710171,171,68500,930001,20,68600,905,344,8650,172,0.3
710172,172,68900,930001,20,69000,910,346,8700,173,0.3
710173,173,69300,930001,20,69400,915,348,8750,174,0.3
710174,174,69700,930001,20,69800,920,350,8800,175,0.3
710175,175,70100,930001,20,70200,925,352,8850,176,0.3
710176,176,70500,930001,20,70600,930,354,8900,177,0.3
710177,177,70900,930001,20,71000,935,356,8950,178,0.3
710178,178,71300,930001,20,71400,940,358,9000,179,0.3
710179,179,71700,930001,20,71800,945,360,9050,180,0.3
710180,180,72100,930001,20,72200,950,362,9100,181,0.3
710181,181,72500,930001,20,72600,955,364,9150,182,0.3
710182,182,72900,930001,20,73000,960,366,9200,183,0.3
710183,183,73300,930001,20,73400,965,368,9250,184,0.3
710184,184,73700,930001,20,73800,970,370,9300,185,0.3
710185,185,74100,930001,20,74200,975,372,9350,186,0.3
710186,186,74500,930001,20,74600,980,374,9400,187,0.3
710187,187,74900,930001,20,75000,985,376,9450,188,0.3
710188,188,75300,930001,20,75400,990,378,9500,189,0.3
710189,189,75700,930001,20,75800,995,380,9550,190,0.3
710190,190,76100,930001,20,76200,1000,382,9600,191,0.3
710191,191,76500,930001,20,76600,1005,384,9650,192,0.3
710192,192,76900,930001,20,77000,1010,386,9700,193,0.3
710193,193,77300,930001,20,77400,1015,388,9750,194,0.3
710194,194,77700,930001,20,77800,1020,390,9800,195,0.3
710195,195,78100,930001,20,78200,1025,392,9850,196,0.3
710196,196,78500,930001,20,78600,1030,394,9900,197,0.3
710197,197,78900,930001,20,79000,1035,396,9950,198,0.3
710198,198,79300,930001,20,79400,1040,398,10000,199,0.3
710199,199,79700,930001,20,79800,1045,400,10050,200,0.3
710200,200,80100,930001,20,80200,1050,402,10100,201,0.3
